name,mass (g),year,reclat,reclong,color
Österplana 049,0,2012,58.583330,13.433330,1
Österplana 064,0,2011,58.583330,13.433330,1
Österplana 062,0,2010,58.583330,13.433330,1
Österplana 063,0,2010,58.583330,13.433330,1
Österplana 057,0,2009,58.583330,13.433330,1
Österplana 058,0,2009,58.583330,13.433330,1
Österplana 059,0,2009,58.583330,13.433330,1
Österplana 060,0,2009,58.583330,13.433330,1
Österplana 061,0,2009,58.583330,13.433330,1
Österplana 055,0,2008,58.583330,13.433330,1
Österplana 056,0,2008,58.583330,13.433330,1
Österplana 051,0,2006,58.583330,13.433330,1
Österplana 052,0,2006,58.583330,13.433330,1
Meridiani Planum,0,2005,-1.946170,354.473330,1
Österplana 054,0,2005,58.583330,13.433330,1
Österplana 048,0,2004,58.583330,13.433330,1
Österplana 050,0,2003,58.583330,13.433330,1
Österplana 053,0,2002,58.583330,13.433330,1
Khatyrka,0.01,2011,62.653160,174.500430,1
Miller Butte 09001,0.01,2009,-71.903550,160.489820,1
Frontier Mountain 01156,0.01,2001,-72.989440,160.402220,1
Johannessen Nunataks 03018,0.02,2003,-72.899500,161.129440,1
LaPaz Icefield 02434,0.02,2002,-86.366670,-70.000000,1
MacAlpine Hills 02532,0.02,2002,-84.216670,160.500000,1
MacAlpine Hills 02554,0.02,2002,-84.216670,160.500000,1
MacAlpine Hills 02649,0.02,2002,-84.216670,160.500000,1
Pecora Escarpment 01005,0.02,2002,-85.684250,-68.791430,1
Frontier Mountain 10080,0.03,2011,-72.952400,160.503300,1
Grove Mountains 050023,0.03,2006,-73.107500,75.152500,1
MacAlpine Hills 02552,0.03,2002,-84.216670,160.500000,1
Pecora Escarpment 01019,0.03,2002,-85.685550,-68.796820,1
Frontier Mountain 01114,0.03,2001,-72.951940,160.459170,1
Frontier Mountain 01125,0.03,2001,-72.951940,160.467220,1
Frontier Mountain 01129,0.03,2001,-72.953060,160.456670,1
Frontier Mountain 01155,0.03,2001,-72.988330,160.401390,1
Frontier Mountain 01161,0.03,2001,-72.992500,160.395280,1
Biduna Blowhole 003,0.04,2011,-31.019640,131.303940,1
Frontier Mountain 10041,0.04,2011,-72.952350,160.483650,1
Ramlat as Sahmah 392,0.04,2010,20.145020,55.709450,1
Frontier Mountain 09004,0.04,2009,-72.953550,160.450050,1
Grove Mountains 055056,0.04,2006,-72.998890,75.187220,1
Grove Mountains 020005,0.04,2002,-73.097500,75.204720,1
MacAlpine Hills 02699,0.04,2002,-84.216670,160.500000,1
Frontier Mountain 01080,0.04,2001,-72.951940,160.454170,1
Meteorite Hills 01154,0.04,2001,-79.683330,159.750000,1
Meteorite Hills 001138,0.04,2000,-79.683330,159.750000,1
Allan Hills 09001,0.05,2009,-76.744030,159.372380,1
Jiddat al Harasis 539,0.05,2008,19.545270,55.162330,1
Shişr 134,0.05,2007,18.258830,53.992850,1
Grove Mountains 050257,0.05,2006,-72.983890,75.246600,1
Grove Mountains 050258,0.05,2006,-72.983890,75.246670,1
Grove Mountains 050392,0.05,2006,-72.977780,75.195830,1
Grove Mountains 050429,0.05,2006,-72.983890,75.245560,1
Grove Mountains 050728,0.05,2006,-72.983890,75.245560,1
Grove Mountains 051009,0.05,2006,-72.983890,75.245560,1
Grove Mountains 051106,0.05,2006,-72.984170,75.245280,1
Grove Mountains 051576,0.05,2006,-72.932500,75.328330,1
Grove Mountains 051946,0.05,2006,-72.779170,75.305000,1
Grove Mountains 052167,0.05,2006,-72.771940,75.344720,1
Grove Mountains 052473,0.05,2006,-72.783610,75.298330,1
Grove Mountains 053196,0.05,2006,-72.774720,75.340000,1
Grove Mountains 053256,0.05,2006,-72.774720,75.340000,1
Grove Mountains 053315,0.05,2006,-72.774720,75.340000,1
Grove Mountains 020030,0.05,2002,-73.074440,75.274170,1
Queen Alexandra Range 02152,0.05,2002,-84.000000,168.000000,1
Frontier Mountain 01120,0.05,2001,-72.991940,160.400280,1
Frontier Mountain 01147,0.05,2001,-72.973610,160.338060,1
Cuddeback Dry Lake 006,0.05,2000,35.312270,-117.453000,1
Frontier Mountain 10062,0.06,2011,-72.950500,160.463600,1
Frontier Mountain 10104,0.06,2011,-72.951930,160.456300,1
Frontier Mountain 09010,0.06,2009,-72.952670,160.465320,1
Lucerne Valley 092,0.06,2007,34.481480,-116.953250,1
Grove Mountains 020346,0.06,2003,-72.983900,75.246400,1
Grove Mountains 020347,0.06,2003,-72.983890,75.246390,1
Grove Mountains 021203,0.06,2003,-72.983610,75.245830,1
Grove Mountains 021553,0.06,2003,-72.934720,75.321940,1
Grove Mountains 021607,0.06,2003,-72.996110,75.203330,1
Grove Mountains 022308,0.06,2003,-72.778889,75.301389,1
Grove Mountains 022569,0.06,2003,-72.774444,75.307222,1
Grove Mountains 022631,0.06,2003,-72.782778,75.277222,1
Grove Mountains 022667,0.06,2003,-72.781389,75.278056,1
